ID,study,CN,cropland.type,irrigation2,rrCH4,varCH4
199,20,16.29502573,upland,rainfed,-1.277842653,0.092173122
201,20,16.29502573,upland,rainfed,0.359006853,0.092173122
274,27,9.734442124,paddy,intermittent,0.727843582,0.001662317
275,27,9.734442124,paddy,intermittent,0.683077568,0.001655561
276,27,9.734442124,paddy,intermittent,0.673878762,0.001642934
277,27,9.734442124,paddy,intermittent,0.624017986,0.001668649
278,28,9.109589041,paddy,intermittent,0.537906582,0.003008447
279,28,9.109589041,paddy,intermittent,1.017363996,0.001150291
280,28,9.109589041,paddy,intermittent,0.532305286,0.002994643
281,28,9.109589041,paddy,intermittent,1.008543822,0.001157835
298,28,9.109589041,paddy,intermittent,0.748831444,0.001664074
299,28,9.109589041,paddy,intermittent,0.585671801,0.001663472
300,28,9.109589041,paddy,intermittent,0.747137564,0.001669769
301,28,9.109589041,paddy,intermittent,0.584833107,0.001668772
313,33,6.481481481,paddy,flooding,0.629777567,0.008426708
314,33,6.481481481,paddy,flooding,0.261013826,0.015675723
315,33,6.481481481,paddy,flooding,0.797589844,0.008100917
316,33,6.481481481,paddy,flooding,0.479136113,0.00231558
321,35,12.68115942,paddy,flooding,0.97112321,0.122897496
322,35,12.68115942,paddy,flooding,1.019831411,0.122897496
323,35,12.68115942,paddy,flooding,1.413201814,0.122897496
338,37,12.4031199,paddy,flooding,0.966988346,0.023380373
339,37,12.4031199,paddy,flooding,-0.267457201,0.030287118
340,37,12.4031199,paddy,flooding,0.477776182,0.063530009
341,35,14.97841347,paddy,flooding,0.582351869,0.122897496
342,35,14.97841347,paddy,flooding,1.54496443,0.122897496
343,35,14.97841347,paddy,flooding,1.822186156,0.122897496
344,35,14.97841347,paddy,flooding,1.967282903,0.122897496
353,11,14.4609375,upland,irrigated,1.897119986,8.363333333
354,11,14.4609375,upland,irrigated,-0.048790163,0.157739984
356,11,14.4609375,upland,irrigated,2.944439003,21.48938255
357,11,14.4609375,upland,irrigated,-0.051293297,0.456881346
358,11,14.4609375,upland,irrigated,0.459532328,0.489381348
359,40,10.28824043,upland,irrigated,0.510825624,1.89437586
360,40,10.28824043,upland,irrigated,-0.182321557,0.325445816
361,40,12.34344606,upland,irrigated,0.459532329,5.33635349
362,40,12.34344606,upland,irrigated,-0.16907633,5.7521251
436,47,11.22222222,upland,rainfed,0.527354926,0.09086044
437,47,11.22222222,upland,rainfed,0.704654787,0.019481845
438,48,8,upland,rainfed,-0.332638365,0.13925896
439,48,8,upland,rainfed,0.316706192,0.00362905
440,33,6.352069563,paddy,flooding,0.803898545,0.008255183
441,33,6.352069563,paddy,flooding,0.477855604,0.002799038
442,49,15.29273763,upland,rainfed,0.055350095,0.092173122
443,49,15.29273763,upland,rainfed,0.00809721,0.092173122
444,49,15.29273763,upland,rainfed,0.329479201,0.092173122
445,49,15.29273763,upland,rainfed,-0.084796536,0.092173122
446,49,15.29273763,upland,rainfed,0.335310121,0.092173122
447,11,16.07445008,upland,irrigated,0.219859476,0.092173122
448,11,16.07445008,upland,irrigated,0.253195896,0.092173122
459,51,11.77040111,upland,rainfed,1.609437912,0.04
460,51,11.77040111,upland,rainfed,2.079441542,0.0625
461,51,11.77040111,upland,rainfed,0.693147181,0.25
462,51,11.77040111,upland,rainfed,0,1
475,35,10.42857143,upland,rainfed,-0.693147181,0.122897496
476,35,10.42857143,upland,rainfed,-1.098612289,0.122897496
477,35,10.42857143,upland,rainfed,-1.16315081,0.122897496
478,35,10.42857143,upland,rainfed,0.875468737,0.122897496
479,35,10.42857143,upland,rainfed,0.587786665,0.122897496
480,35,10.42857143,upland,rainfed,1.223775432,0.122897496
482,35,10.42857143,upland,rainfed,-3.091042453,0.122897495
483,35,10.42857143,upland,rainfed,-3.688879454,0.122897495
484,35,10.42857143,upland,rainfed,0.875468737,0.122897496
485,35,10.42857143,upland,rainfed,1.526056303,0.122897496
486,35,10.42857143,upland,rainfed,1.029619417,0.122897496
493,55,4.658064516,upland,rainfed,0.189242,0.092173122
494,55,4.658064516,upland,rainfed,0.148180513,0.092173122
495,55,4.658064516,upland,rainfed,0.136132174,0.092173122
496,55,4.658064516,upland,rainfed,-0.007272759,0.092173122
497,55,4.658064516,upland,rainfed,0.021506205,0.092173122
498,55,4.658064516,upland,rainfed,0.122602322,0.092173122
542,35,12.85714286,paddy,flooding,0.579818496,0.122897496
543,35,12.85714286,paddy,flooding,1.54229861,0.122897496
544,35,12.85714286,paddy,flooding,1.82056146,0.122897496
545,35,12.85714286,paddy,flooding,1.965203352,0.122897496
550,35,12.85714286,paddy,flooding,0.504556011,0.122897496
551,35,12.85714286,paddy,flooding,1.491498615,0.122897496
552,35,12.85714286,paddy,flooding,1.760010771,0.122897496
553,35,12.85714286,paddy,flooding,1.90397146,0.122897496
895,33,8.807017544,paddy,flooding,0.133531393,0.005518534
896,33,8.807017544,paddy,flooding,0.514898949,0.001011377
897,33,8.807017544,paddy,flooding,1.355203774,0.005845856
898,33,8.807017544,paddy,flooding,1.106517468,0.014030059
899,33,8.807017544,paddy,flooding,1.482686207,0.005131259
900,33,8.807017544,paddy,flooding,1.755391825,0.007540693
919,95,9.554521794,upland,rainfed,0.322083499,0.053403991
920,95,9.554521794,upland,rainfed,-3.135494216,2603.31569
1033,109,8.135650853,upland,rainfed,-0.062520358,0.122897496
1034,109,8.135650853,upland,rainfed,-0.109199292,0.122897496
1035,109,8.135650853,upland,rainfed,-0.243622081,0.122897496
1036,109,8.135650853,upland,rainfed,-0.109199292,0.122897496
1037,109,8.135650853,upland,rainfed,0.039220715,0.122897496
1038,109,8.135650853,upland,rainfed,-0.189242001,0.122897496
1039,109,8.135650853,upland,rainfed,-0.076961042,0.122897496
1040,109,8.135650853,upland,rainfed,0,0.122897495
1138,119,11.46410536,upland,rainfed,-0.196922565,0.192843067
1142,120,6.823529412,paddy,intermittent,0.342859942,0.122897496
1670,146,11.88888889,paddy,flooding,0.614366303,0.122897496
1671,146,11.88888889,paddy,flooding,0.435318071,0.122897496
1687,147,12.27249792,upland,rainfed,1.84582667,0.092173115
1688,147,12.27249792,upland,rainfed,1.84582669,0.092173125
1689,147,12.27249792,upland,rainfed,-1.845826706,0.092173127
1699,148,10.25720107,paddy,intermittent,0.03446798,0.122897496
1700,148,10.25720107,paddy,intermittent,0.479364315,0.122897496
1701,148,10.25720107,paddy,intermittent,-0.048531961,0.122897496
1702,148,10.25720107,paddy,intermittent,0.563399487,0.122897496
1703,148,10.25720107,paddy,intermittent,0.457972547,0.122897496
1704,148,10.25720107,paddy,intermittent,0.890758739,0.122897496
1705,148,10.25720107,paddy,intermittent,0.23365671,0.122897496
1706,148,10.25720107,paddy,intermittent,0.685887621,0.122897496
1707,35,16.90420949,paddy,flooding,0.535518236,0.122897496
1708,35,16.90420949,paddy,flooding,1.422103814,0.122897496
1709,35,16.90420949,paddy,flooding,1.849110766,0.122897496
1710,35,16.90420949,paddy,intermittent,0.517943092,0.122897496
1711,35,16.90420949,paddy,intermittent,1.424828025,0.122897496
1712,35,16.90420949,paddy,intermittent,1.779783278,0.122897496
1713,35,16.90420949,paddy,flooding,2.222542385,0.122897496
1714,35,16.90420949,paddy,flooding,2.172378579,0.122897496
1715,149,9.677419355,paddy,flooding,0.069983293,0.088241223
1716,149,9.677419355,paddy,intermittent,0.08786417,0.504656461
1717,149,9.677419355,upland,irrigated,-0.482851772,0.991848287
1718,149,9.677419355,paddy,flooding,0.554708016,0.079157961
1719,149,9.677419355,paddy,intermittent,0.522852025,0.067653756
1720,149,9.677419355,upland,irrigated,0.571521661,0.096419143
1724,151,5.085338336,paddy,intermittent,-0.301606161,0.122897496
1725,151,5.085338336,paddy,intermittent,-0.13132632,0.122897496
1726,151,5.085338336,paddy,intermittent,1.102467981,0.122897496
1727,151,5.085338336,paddy,intermittent,-0.478505275,0.122897496
1728,151,5.085338336,paddy,intermittent,-0.16034265,0.122897496
1729,152,10.55767914,paddy,intermittent,0.238964127,0.004181427
1730,152,10.55767914,paddy,intermittent,0.174978139,0.002668112
1731,152,10.55767914,paddy,intermittent,0.197733633,0.002825246
1732,152,10.55767914,paddy,intermittent,0.160078537,0.005548798
1742,156,9.263959391,paddy,intermittent,-0.199587922,0.00530096
1743,156,9.263959391,paddy,intermittent,-0.076165847,0.004215134
1750,158,13.88111049,paddy,intermittent,-0.640378425,0.053302452
1751,158,13.88111049,paddy,intermittent,-0.48150941,0.0536251
1752,113,9.176296804,paddy,intermittent,-0.117783036,0.001127186
1808,163,5.075406038,paddy,flooding,0.106791974,0.122897496
1809,163,5.075406038,paddy,flooding,-0.03880349,0.122897496
1810,163,5.075406038,paddy,flooding,-0.553340439,0.122897496
1814,35,13.67816092,paddy,flooding,0.669430654,0.122897496
1815,35,13.67816092,paddy,flooding,1.200058905,0.122897496
1816,35,13.67816092,paddy,flooding,1.678847364,0.122897496
1817,35,13.67816092,paddy,flooding,0.679783952,0.122897496
1818,35,13.67816092,paddy,flooding,1.3929096,0.122897496
1819,35,13.67816092,paddy,flooding,1.826545585,0.122897496
1820,164,9.305555556,paddy,rainfed,0.220777704,0.122897496
1821,164,9.305555556,paddy,rainfed,0.148913181,0.122897496
1822,164,9.305555556,paddy,rainfed,0.15318528,0.122897496
1823,164,9.305555556,paddy,rainfed,0.136289176,0.122897496
1827,165,11.5483372,upland,rainfed,0.457833093,0.092173122
1838,38,12.3457218,upland,rainfed,0.45512402,0.061448748
1846,169,13.5,upland,rainfed,-0.575364145,2.503616899
1847,169,13.5,upland,rainfed,0.610909083,2.288513766
1848,169,13.5,upland,rainfed,-1.252762967,0.394557823
1849,169,13.5,upland,rainfed,-1.791759472,0.564814815
1850,170,8.159337751,paddy,intermittent,0.023087245,0.122897496
1851,170,8.159337751,paddy,intermittent,-0.04307298,0.122897496
1852,170,8.159337751,paddy,intermittent,0.034912637,0.122897496
1853,170,8.159337751,paddy,intermittent,-0.122698874,0.122897496
1856,172,7.404891304,paddy,flooding,0.495616205,0.000440051
