variable,period,pathway,cropland.type,mean,lower,upper
AMS,current,ssp126,upland,1.856888,-8.092514,14.42437
AMS,current,ssp126,paddy,-0.2007892,-7.81501,7.399283
AMS,current,ssp370,upland,1.856888,-8.092514,14.42437
AMS,current,ssp370,paddy,-0.2007892,-7.81501,7.399283
AMS,2020s,ssp126,upland,5.965871,-4.330759,18.70169
AMS,2020s,ssp126,paddy,3.188576,-5.055889,11.040413
AMS,2020s,ssp370,upland,5.96216,-4.373096,18.761437
AMS,2020s,ssp370,paddy,3.177666,-5.084917,11.040057
AMS,2040s,ssp126,upland,6.728893,-3.283648,19.342222
AMS,2040s,ssp126,paddy,3.543902,-4.443227,11.332008
AMS,2040s,ssp370,upland,6.799869,-3.138985,19.438645
AMS,2040s,ssp370,paddy,3.557724,-4.335603,11.333067
AMS,2060s,ssp126,upland,7.137617,-2.878968,19.597129
AMS,2060s,ssp126,paddy,3.753604,-4.131844,11.458096
AMS,2060s,ssp370,upland,7.317285,-2.401894,19.722137
AMS,2060s,ssp370,paddy,3.803042,-3.864669,11.501676
AMS,2090s,ssp126,upland,7.191139,-2.754666,19.609021
AMS,2090s,ssp126,paddy,3.793447,-4.044359,11.470688
AMS,2090s,ssp370,upland,7.601693,-1.819891,19.803664
AMS,2090s,ssp370,paddy,3.945356,-3.328366,11.522345
yield,current,ssp126,upland,10.23701,,
yield,current,ssp126,paddy,15.25702,,
yield,current,ssp370,upland,10.23701,,
yield,current,ssp370,paddy,15.25702,,
yield,2020s,ssp126,upland,9.30246,,
yield,2020s,ssp126,paddy,14.28501,,
yield,2020s,ssp370,upland,9.316563,,
yield,2020s,ssp370,paddy,14.33165,,
yield,2040s,ssp126,upland,9.52773,,
yield,2040s,ssp126,paddy,14.30105,,
yield,2040s,ssp370,upland,9.633104,,
yield,2040s,ssp370,paddy,14.3755,,
yield,2060s,ssp126,upland,9.6596,,
yield,2060s,ssp126,paddy,14.34433,,
yield,2060s,ssp370,upland,9.955057,,
yield,2060s,ssp370,paddy,14.55871,,
yield,2090s,ssp126,upland,9.743344,,
yield,2090s,ssp126,paddy,14.38247,,
yield,2090s,ssp370,upland,10.32212,,
yield,2090s,ssp370,paddy,14.7674,,
SOC,current,ssp126,upland,6.346155,,
SOC,current,ssp126,paddy,5.431455,,
SOC,current,ssp370,upland,6.346155,,
SOC,current,ssp370,paddy,5.431455,,
SOC,2020s,ssp126,upland,7.947134,,
SOC,2020s,ssp126,paddy,7.264615,,
SOC,2020s,ssp370,upland,7.93459,,
SOC,2020s,ssp370,paddy,7.200829,,
SOC,2040s,ssp126,upland,8.104383,,
SOC,2040s,ssp126,paddy,7.566688,,
SOC,2040s,ssp370,upland,8.058881,,
SOC,2040s,ssp370,paddy,7.459862,,
SOC,2060s,ssp126,upland,8.009187,,
SOC,2060s,ssp126,paddy,7.483084,,
SOC,2060s,ssp370,upland,7.902402,,
SOC,2060s,ssp370,paddy,7.273467,,
SOC,2090s,ssp126,upland,8.079513,,
SOC,2090s,ssp126,paddy,7.582024,,
SOC,2090s,ssp370,upland,7.9469,,
SOC,2090s,ssp370,paddy,7.207027,,
N2O,current,ssp126,upland,57.20047,,
N2O,current,ssp126,paddy,55.09317,,
N2O,current,ssp370,upland,57.20047,,
N2O,current,ssp370,paddy,55.09317,,
N2O,2020s,ssp126,upland,38.09697,,
N2O,2020s,ssp126,paddy,34.74078,,
N2O,2020s,ssp370,upland,38.11697,,
N2O,2020s,ssp370,paddy,34.72568,,
N2O,2040s,ssp126,upland,38.35478,,
N2O,2040s,ssp126,paddy,34.9627,,
N2O,2040s,ssp370,upland,38.54214,,
N2O,2040s,ssp370,paddy,34.96626,,
N2O,2060s,ssp126,upland,37.52493,,
N2O,2060s,ssp126,paddy,34.0346,,
N2O,2060s,ssp370,upland,38.10385,,
N2O,2060s,ssp370,paddy,34.15929,,
N2O,2090s,ssp126,upland,37.62429,,
N2O,2090s,ssp126,paddy,34.13568,,
N2O,2090s,ssp370,upland,38.33993,,
N2O,2090s,ssp370,paddy,34.32967,,
CH4,current,ssp126,upland,25.3333,,
CH4,current,ssp126,paddy,31.40246,,
CH4,current,ssp370,upland,25.3333,,
CH4,current,ssp370,paddy,31.40246,,
CH4,2020s,ssp126,upland,21.2692,,
CH4,2020s,ssp126,paddy,28.14043,,
CH4,2020s,ssp370,upland,21.29951,,
CH4,2020s,ssp370,paddy,28.16078,,
CH4,2040s,ssp126,upland,21.85675,,
CH4,2040s,ssp126,paddy,28.61594,,
CH4,2040s,ssp370,upland,21.76073,,
CH4,2040s,ssp370,paddy,28.51334,,
CH4,2060s,ssp126,upland,21.72999,,
CH4,2060s,ssp126,paddy,28.42813,,
CH4,2060s,ssp370,upland,21.44171,,
CH4,2060s,ssp370,paddy,28.17579,,
CH4,2090s,ssp126,upland,21.7298,,
CH4,2090s,ssp126,paddy,28.44428,,
CH4,2090s,ssp370,upland,20.91291,,
CH4,2090s,ssp370,paddy,27.63391,,
MWD,current,ssp126,upland,-2.337788,,
MWD,current,ssp126,paddy,-1.568408,,
MWD,current,ssp370,upland,-2.337788,,
MWD,current,ssp370,paddy,-1.568408,,
MWD,2020s,ssp126,upland,14.0805,,
MWD,2020s,ssp126,paddy,15.84507,,
MWD,2020s,ssp370,upland,14.05316,,
MWD,2020s,ssp370,paddy,15.82937,,
MWD,2040s,ssp126,upland,17.57343,,
MWD,2040s,ssp126,paddy,19.04037,,
MWD,2040s,ssp370,upland,17.73701,,
MWD,2040s,ssp370,paddy,19.20214,,
MWD,2060s,ssp126,upland,19.34942,,
MWD,2060s,ssp126,paddy,20.72087,,
MWD,2060s,ssp370,upland,19.68615,,
MWD,2060s,ssp370,paddy,21.04445,,
MWD,2090s,ssp126,upland,19.35685,,
MWD,2090s,ssp126,paddy,20.72515,,
MWD,2090s,ssp370,upland,20.09966,,
MWD,2090s,ssp370,paddy,21.49395,,
